"Park","yr","spp","nobs","ndetects","propdetect"
"SAGW",2017,"BAAS",217,2,0.01
"SAGW",2017,"CALA",217,43,0.2
"SAGW",2017,"CALUFA",217,0,0
"SAGW",2017,"COLE",217,0,0
"SAGW",2017,"LECA",217,63,0.29
"SAGW",2017,"LYRU",217,14,0.06
"SAGW",2017,"MEMA",217,0,0
"SAGW",2017,"ODHE",217,51,0.24
"SAGW",2017,"PETA",217,46,0.21
"SAGW",2017,"PUCO",217,0,0
"SAGW",2017,"SPGR",217,0,0
"SAGW",2017,"SYAU",217,90,0.41
"SAGW",2017,"TATA",217,0,0
"SAGW",2017,"UNCA",217,0,0
"SAGW",2017,"UNLE",217,23,0.11
"SAGW",2017,"UNOD",217,4,0.02
"SAGW",2017,"UNSK",217,0,0
"SAGW",2017,"UNSY",217,0,0
"SAGW",2017,"URCI",217,76,0.35
"SAGW",2018,"BAAS",240,2,0.01
"SAGW",2018,"CALA",240,37,0.15
"SAGW",2018,"CALUFA",240,1,0
"SAGW",2018,"COLE",240,1,0
"SAGW",2018,"LECA",240,52,0.22
"SAGW",2018,"LYRU",240,15,0.06
"SAGW",2018,"MEMA",240,3,0.01
"SAGW",2018,"ODHE",240,58,0.24
"SAGW",2018,"PETA",240,36,0.15
"SAGW",2018,"PUCO",240,1,0
"SAGW",2018,"SPGR",240,2,0.01
"SAGW",2018,"SYAU",240,78,0.32
"SAGW",2018,"TATA",240,0,0
"SAGW",2018,"UNCA",240,0,0
"SAGW",2018,"UNLE",240,13,0.05
"SAGW",2018,"UNOD",240,0,0
"SAGW",2018,"UNSK",240,0,0
"SAGW",2018,"UNSY",240,0,0
"SAGW",2018,"URCI",240,15,0.06
"SAGW",2020,"BAAS",349,4,0.01
"SAGW",2020,"CALA",349,83,0.24
"SAGW",2020,"CALUFA",349,1,0
"SAGW",2020,"COLE",349,1,0
"SAGW",2020,"LECA",349,81,0.23
"SAGW",2020,"LYRU",349,19,0.05
"SAGW",2020,"MEMA",349,0,0
"SAGW",2020,"ODHE",349,66,0.19
"SAGW",2020,"PETA",349,87,0.25
"SAGW",2020,"PUCO",349,0,0
"SAGW",2020,"SPGR",349,0,0
"SAGW",2020,"SYAU",349,70,0.2
"SAGW",2020,"TATA",349,4,0.01
"SAGW",2020,"UNCA",349,4,0.01
"SAGW",2020,"UNLE",349,43,0.12
"SAGW",2020,"UNOD",349,20,0.06
"SAGW",2020,"UNSK",349,1,0
"SAGW",2020,"UNSY",349,0,0
"SAGW",2020,"URCI",349,57,0.16
"SAGW",2021,"BAAS",266,1,0
"SAGW",2021,"CALA",266,30,0.11
"SAGW",2021,"CALUFA",266,1,0
"SAGW",2021,"COLE",266,0,0
"SAGW",2021,"LECA",266,35,0.13
"SAGW",2021,"LYRU",266,7,0.03
"SAGW",2021,"MEMA",266,0,0
"SAGW",2021,"ODHE",266,73,0.27
"SAGW",2021,"PETA",266,48,0.18
"SAGW",2021,"PUCO",266,3,0.01
"SAGW",2021,"SPGR",266,0,0
"SAGW",2021,"SYAU",266,12,0.05
"SAGW",2021,"TATA",266,2,0.01
"SAGW",2021,"UNCA",266,0,0
"SAGW",2021,"UNLE",266,13,0.05
"SAGW",2021,"UNOD",266,0,0
"SAGW",2021,"UNSK",266,0,0
"SAGW",2021,"UNSY",266,0,0
"SAGW",2021,"URCI",266,21,0.08
"SAGW",2022,"BAAS",295,0,0
"SAGW",2022,"CALA",295,68,0.23
"SAGW",2022,"CALUFA",295,2,0.01
"SAGW",2022,"COLE",295,0,0
"SAGW",2022,"LECA",295,41,0.14
"SAGW",2022,"LYRU",295,23,0.08
"SAGW",2022,"MEMA",295,0,0
"SAGW",2022,"ODHE",295,69,0.23
"SAGW",2022,"PETA",295,53,0.18
"SAGW",2022,"PUCO",295,0,0
"SAGW",2022,"SPGR",295,0,0
"SAGW",2022,"SYAU",295,56,0.19
"SAGW",2022,"TATA",295,3,0.01
"SAGW",2022,"UNCA",295,0,0
"SAGW",2022,"UNLE",295,20,0.07
"SAGW",2022,"UNOD",295,0,0
"SAGW",2022,"UNSK",295,1,0
"SAGW",2022,"UNSY",295,0,0
"SAGW",2022,"URCI",295,64,0.22
"SAGW",2023,"BAAS",347,3,0.01
"SAGW",2023,"CALA",347,94,0.27
"SAGW",2023,"CALUFA",347,0,0
"SAGW",2023,"COLE",347,1,0
"SAGW",2023,"LECA",347,90,0.26
"SAGW",2023,"LYRU",347,21,0.06
"SAGW",2023,"MEMA",347,0,0
"SAGW",2023,"ODHE",347,97,0.28
"SAGW",2023,"PETA",347,75,0.22
"SAGW",2023,"PUCO",347,3,0.01
"SAGW",2023,"SPGR",347,1,0
"SAGW",2023,"SYAU",347,113,0.33
"SAGW",2023,"TATA",347,4,0.01
"SAGW",2023,"UNCA",347,0,0
"SAGW",2023,"UNLE",347,49,0.14
"SAGW",2023,"UNOD",347,0,0
"SAGW",2023,"UNSK",347,0,0
"SAGW",2023,"UNSY",347,3,0.01
"SAGW",2023,"URCI",347,81,0.23
"SAGW",2024,"BAAS",333,2,0.01
"SAGW",2024,"CALA",333,80,0.24
"SAGW",2024,"CALUFA",333,1,0
"SAGW",2024,"COLE",333,2,0.01
"SAGW",2024,"LECA",333,102,0.31
"SAGW",2024,"LYRU",333,21,0.06
"SAGW",2024,"MEMA",333,2,0.01
"SAGW",2024,"ODHE",333,66,0.2
"SAGW",2024,"PETA",333,83,0.25
"SAGW",2024,"PUCO",333,3,0.01
"SAGW",2024,"SPGR",333,1,0
"SAGW",2024,"SYAU",333,106,0.32
"SAGW",2024,"TATA",333,10,0.03
"SAGW",2024,"UNCA",333,6,0.02
"SAGW",2024,"UNLE",333,55,0.17
"SAGW",2024,"UNOD",333,5,0.02
"SAGW",2024,"UNSK",333,0,0
"SAGW",2024,"UNSY",333,17,0.05
"SAGW",2024,"URCI",333,112,0.34
"SAGW",2025,"BAAS",360,2,0.01
"SAGW",2025,"CALA",360,88,0.24
"SAGW",2025,"CALUFA",360,0,0
"SAGW",2025,"COLE",360,1,0
"SAGW",2025,"LECA",360,81,0.22
"SAGW",2025,"LYRU",360,35,0.1
"SAGW",2025,"MEMA",360,7,0.02
"SAGW",2025,"ODHE",360,65,0.18
"SAGW",2025,"PETA",360,62,0.17
"SAGW",2025,"PUCO",360,2,0.01
"SAGW",2025,"SPGR",360,0,0
"SAGW",2025,"SYAU",360,100,0.28
"SAGW",2025,"TATA",360,5,0.01
"SAGW",2025,"UNCA",360,3,0.01
"SAGW",2025,"UNLE",360,46,0.13
"SAGW",2025,"UNOD",360,1,0
"SAGW",2025,"UNSK",360,0,0
"SAGW",2025,"UNSY",360,0,0
"SAGW",2025,"URCI",360,50,0.14
